epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
166,1603.7,1.48735,1.93769,1.67524,0.46891,0.56092,0.50643,0.25804,1.58619,1.62248,1.58679,0.004555,0.004555,0.004555
167,1613.21,1.48315,1.93857,1.66472,0.55019,0.49889,0.50227,0.2662,1.55888,1.61656,1.54862,0.004522,0.004522,0.004522
168,1622.59,1.45501,1.91377,1.64376,0.44094,0.51434,0.4823,0.25832,1.56009,1.64808,1.5509,0.004489,0.004489,0.004489
169,1631.99,1.50154,1.93835,1.66963,0.48158,0.4771,0.46463,0.24582,1.5537,1.68531,1.54176,0.004456,0.004456,0.004456
170,1641.49,1.46572,1.8704,1.64437,0.4894,0.47055,0.4685,0.24986,1.54922,1.6762,1.55108,0.004423,0.004423,0.004423
171,1651.12,1.48706,1.93106,1.6659,0.47692,0.49716,0.45781,0.244,1.58491,1.71466,1.56525,0.00439,0.00439,0.00439
172,1660.55,1.46409,1.92197,1.6464,0.54695,0.52256,0.50809,0.2708,1.5275,1.59484,1.53874,0.004357,0.004357,0.004357
173,1669.95,1.48635,1.95467,1.66807,0.47033,0.54636,0.48615,0.26042,1.53726,1.61383,1.5318,0.004324,0.004324,0.004324
174,1679.33,1.49982,1.93176,1.64068,0.51225,0.48268,0.48959,0.26592,1.53563,1.59711,1.53715,0.004291,0.004291,0.004291
175,1689.06,1.486,1.87612,1.64654,0.48874,0.50813,0.47567,0.25298,1.55156,1.6174,1.54467,0.004258,0.004258,0.004258
176,1698.67,1.48839,1.9316,1.66441,0.49586,0.49599,0.4727,0.25186,1.55257,1.65758,1.55581,0.004225,0.004225,0.004225
177,1708.23,1.46668,1.88186,1.63967,0.4568,0.55412,0.50607,0.25775,1.60427,1.59993,1.57382,0.004192,0.004192,0.004192
178,1717.85,1.47021,1.90277,1.64764,0.51084,0.50042,0.48177,0.25136,1.59678,1.63355,1.56236,0.004159,0.004159,0.004159
179,1727.41,1.47517,1.88885,1.6489,0.50392,0.52,0.49174,0.26979,1.56882,1.66982,1.56645,0.004126,0.004126,0.004126
180,1737.07,1.46048,1.87897,1.63721,0.5348,0.55488,0.52075,0.27879,1.51724,1.5761,1.53014,0.004093,0.004093,0.004093
181,1746.86,1.43782,1.82805,1.61205,0.54246,0.48723,0.49851,0.27537,1.51869,1.6011,1.5306,0.00406,0.00406,0.00406
182,1756.79,1.46777,1.84063,1.62236,0.48295,0.54905,0.50224,0.26689,1.55219,1.61075,1.5618,0.004027,0.004027,0.004027
183,1766.28,1.49506,1.87752,1.67215,0.53261,0.51578,0.51517,0.2803,1.5164,1.58359,1.52799,0.003994,0.003994,0.003994
184,1775.94,1.46944,1.88381,1.64762,0.50927,0.45711,0.4873,0.27112,1.5291,1.59687,1.51846,0.003961,0.003961,0.003961
